#%modelname
#Red, Green, Blue, Alpha, OffsetX, OffsetY, OffsetZ, CustomSize, BlinkType, NoDistance, DrawSearchlight
#0.45 - custom size reserved for traffic lights

%verticalift_bridge
229 000 011 255 -88.622803 -23.071100 -19.583599 1.00 02 0 0
229 000 011 255 -88.622803 21.3754005 -19.583599 1.00 02 0 0
%nbbridgfk2
255 255 255 255 41.3311005 -19.680000 -11.120800 1.20 00 0 0
255 255 255 255 47.7551994 26.9757996 -16.747801 1.20 00 0 0
255 255 255 255 23.0049000 27.0848007 -10.055000 1.20 00 0 0
255 255 255 255 1.66735995 27.2544994 -1.9666200 1.20 00 0 0
255 255 255 255 -18.429001 27.2546005 8.66388988 1.20 00 0 0
255 255 255 255 -41.887299 26.8202000 24.6156998 1.20 00 0 0
255 255 255 255 -64.787498 27.1455002 41.8908997 1.20 00 0 0
255 255 255 255 -85.699600 26.9757996 57.4836998 1.20 00 0 0
255 255 255 255 -87.385803 -18.728701 61.7480011 1.20 00 0 0
255 255 255 255 -65.502296 -18.698200 44.7254982 1.20 00 0 0
255 255 255 255 -42.594398 -18.677000 27.6459007 1.20 00 0 0
255 255 255 255 -18.857500 -18.728701 13.3583002 1.20 00 0 0
255 255 255 255 0.38891599 -18.700800 2.43625998 1.20 00 0 0
255 255 255 255 22.7061005 -19.109100 -6.7273898 1.20 00 0 0
%nbbridgcabls01
255 255 255 255 -73.672501 -15.518400 72.0709991 1.20 00 0 0
255 255 255 255 -73.672501 27.3145008 73.4045029 1.20 00 0 0
255 255 255 255 -52.015301 27.4619999 47.6791992 1.20 00 0 0
255 255 255 255 -28.943399 -16.082701 26.3463993 1.20 00 0 0
255 255 255 255 -51.831100 -15.740500 45.9407997 1.20 00 0 0
255 255 255 255 -27.949800 27.6110001 26.0594006 1.20 00 0 0
255 255 255 255 -6.2310801 27.6907005 11.2681999 1.20 00 0 0
255 255 255 255 -6.2310801 -16.003000 10.7398996 1.20 00 0 0
255 255 255 255 16.3059006 27.4034004 -1.2695301 1.20 00 0 0
255 255 255 255 16.1061001 -16.108601 -1.7897700 1.20 00 0 0
255 255 255 255 40.1253014 27.0741997 -10.427200 1.20 00 0 0
255 255 255 255 40.1253014 -15.860200 -10.930000 1.20 00 0 0
255 255 255 255 65.1762009 27.5125999 -18.222500 1.20 00 0 0
255 255 255 255 64.9944000 -16.108601 -18.867201 1.20 00 0 0
%bvbridgspprt01
255 255 255 255 7.76647997 -31.333500 58.1041985 1.00 00 0 0
255 255 255 255 7.76647997 30.2817001 58.1041985 1.00 00 0 0
%nbbridgerdb
255 255 255 255 66.3470001 -5.3626099 0.15081400 1.00 00 0 0
255 255 255 255 66.3920975 5.78954983 0.17227601 1.00 00 0 0
255 255 255 255 47.5108986 5.77704000 0.94689202 1.00 00 0 0
255 255 255 255 30.3181992 5.77637005 1.50671995 1.00 00 0 0
255 255 255 255 14.2150002 5.83599997 2.14049006 1.00 00 0 0
255 255 255 255 -4.3818998 5.81079006 2.71757007 1.00 00 0 0
255 255 255 255 -20.745501 5.95843983 2.95945001 1.00 00 0 0
255 255 255 255 -36.772900 5.93181992 3.11312008 1.00 00 0 0
255 255 255 255 -54.864899 5.91119003 3.38060999 1.00 00 0 0
255 255 255 255 -20.926800 -5.3649302 2.80239010 1.00 00 0 0
255 255 255 255 47.4534988 -5.4235201 0.77223998 1.00 00 0 0
255 255 255 255 -54.806801 -5.4159498 3.34892988 1.00 00 0 0
255 255 255 255 -36.861099 -5.4558702 3.06379008 1.00 00 0 0
255 255 255 255 30.3430004 -5.3576002 1.50568998 1.00 00 0 0
255 255 255 255 -4.5203199 -5.3121300 2.38861990 1.00 00 0 0
255 255 255 255 14.1075001 -5.3371000 1.97040999 1.00 00 0 0
255 255 255 255 -77.286201 5.89410019 3.46150994 1.00 00 0 0
255 255 255 255 81.7770004 5.83483982 -0.4368670 1.00 00 0 0
255 255 255 255 -77.174599 -5.4459200 3.50351000 1.00 00 0 0
255 255 255 255 81.6969986 -5.2963300 -0.5752750 1.00 00 0 0
255 255 255 255 47.6258011 14.6021004 0.89252502 1.00 00 0 0
255 255 255 255 66.3663025 25.8682003 0.27393001 1.00 00 0 0
255 255 255 255 47.6834984 25.8556995 1.02113998 1.00 00 0 0
255 255 255 255 30.5358009 25.8549995 1.54285002 1.00 00 0 0
255 255 255 255 14.0750999 25.8484993 1.93692994 1.00 00 0 0
255 255 255 255 -36.847301 14.5930004 3.05151010 1.00 00 0 0
255 255 255 255 30.4349003 14.7517004 1.47952998 1.00 00 0 0
255 255 255 255 -4.5111699 14.7039003 2.41408992 1.00 00 0 0
255 255 255 255 -20.851601 14.7406998 2.90427995 1.00 00 0 0
255 255 255 255 66.4372025 14.6555996 0.32295999 1.00 00 0 0
255 255 255 255 -54.881001 14.6582003 3.28965998 1.00 00 0 0
255 255 255 255 81.7808990 25.9134998 -0.3487890 1.00 00 0 0
255 255 255 255 81.8638000 14.6609001 -0.3042640 1.00 00 0 0
255 255 255 255 14.0618000 14.6955996 2.03889990 1.00 00 0 0
255 255 255 255 -54.871101 25.8752003 3.30006003 1.00 00 0 0
255 255 255 255 -4.4997602 25.8894005 2.44355989 1.00 00 0 0
255 255 255 255 251.042007 -14.599800 3.53053999 1.00 00 0 0
255 255 255 255 -36.793301 25.9449005 3.05762005 1.00 00 0 0
255 255 255 255 250.988998 -5.9444599 3.63057995 1.00 00 0 0
255 255 255 255 -20.830900 25.8502998 2.84171009 1.00 00 0 0
255 255 255 255 -77.285400 14.7002001 3.38691998 1.00 00 0 0
255 255 255 255 -77.226601 25.8752003 3.44964004 1.00 00 0 0
%tunl_4
255 255 255 255 40.5688019 -8.9040499 2.24676991 1.00 00 0 0
255 255 255 255 8.26311970 -8.9720001 2.10631990 1.00 00 0 0
255 255 255 255 -23.453800 -9.0209703 2.00513005 1.00 00 0 0
255 255 255 255 -7.8106098 8.98900032 2.07125998 1.00 00 0 0
255 255 255 255 -40.331501 8.95184040 2.14804006 1.00 00 0 0
255 255 255 255 24.2021999 8.94452000 2.16314006 1.00 00 0 0
%tunl_bend
255 255 255 255 -39.332500 -7.6195998 2.19921994 1.00 00 0 0
255 255 255 255 -10.524100 11.6349001 2.16764998 1.00 00 0 0
255 255 255 255 21.9578991 22.6385994 2.21236992 1.00 00 0 0
255 255 255 255 -15.308200 -11.661600 2.22270989 1.00 00 0 0
255 255 255 255 11.5621004 1.47907996 2.27424002 1.00 00 0 0
255 255 255 255 40.5215988 7.11563015 2.19579005 1.00 00 0 0
%tunl_T4
255 255 255 255 -7.7424002 10.6070995 2.20695996 1.00 00 0 0
255 255 255 255 24.5918999 10.6175003 2.18530011 1.00 00 0 0
255 255 255 255 -40.102200 10.6163998 2.18760991 1.00 00 0 0
255 255 255 255 40.7117996 -7.2352300 2.21592999 1.00 00 0 0
255 255 255 255 -23.789600 -7.2520800 2.18112993 1.00 00 0 0
%tunl_t2
255 255 255 255 -24.079800 -7.2087598 2.27066994 1.00 00 0 0
255 255 255 255 -7.5887499 10.6560001 2.10580993 1.00 00 0 0
255 255 255 255 24.1942997 10.6606998 2.09610009 1.00 00 0 0
255 255 255 255 40.3945999 -7.3280301 2.02411008 1.00 00 0 0
255 255 255 255 -40.129002 10.5400000 2.34555006 1.00 00 0 0
%tunl_2
255 255 255 255 33.2514992 3.91675997 2.32704997 1.00 00 0 0
255 255 255 255 32.9892006 -3.9766800 2.13070989 1.00 00 0 0
255 255 255 255 10.4335003 3.97960997 2.12111998 1.00 00 0 0
255 255 255 255 10.5255003 -3.8871200 2.42418003 1.00 00 0 0
255 255 255 255 -12.485600 3.94428992 2.23687005 1.00 00 0 0
255 255 255 255 -10.362200 -4.0234399 1.97754002 1.00 00 0 0
255 255 255 255 -33.931801 -3.9234900 2.30500007 1.00 00 0 0
255 255 255 255 -33.201401 3.96450996 2.17059994 1.00 00 0 0
%tunl_2_bend
255 255 255 255 32.0680008 -7.1686401 2.28105998 1.00 00 0 0
255 255 255 255 9.21271038 -1.3725400 2.12177992 1.00 00 0 0
255 255 255 255 27.5785007 -13.766900 1.98705995 1.00 00 0 0
255 255 255 255 -10.613300 6.97420979 2.40166998 1.00 00 0 0
255 255 255 255 -9.1168804 14.6342001 2.46977997 1.00 00 0 0
255 255 255 255 12.6033001 5.76765013 2.32117009 1.00 00 0 0
255 255 255 255 -32.181400 19.1131992 2.43371010 1.00 00 0 0
255 255 255 255 -32.231098 11.2652998 2.27255988 1.00 00 0 0
%tunl_4_Cus1
255 255 255 255 -17.197500 -16.472799 6.35940981 1.00 00 0 0
255 255 255 255 19.9188995 -7.1321702 1.80745995 1.00 00 0 0
255 255 255 255 -4.5566301 2.65068007 4.21798992 1.00 00 0 0
255 255 255 255 26.4276009 13.1398001 -0.8056900 1.00 00 0 0
255 255 255 255 -40.362900 -1.6897000 8.56394958 1.00 00 0 0
255 255 255 255 51.8665009 7.27694988 -3.5340199 1.00 00 0 0
%tunl_4_Cus2
255 255 255 255 14.3570004 -2.5606699 -0.6549340 1.00 00 0 0
255 255 255 255 37.3133011 19.7728004 -2.3457999 1.00 00 0 0
255 255 255 255 -9.8615599 -0.2629090 1.10974002 1.00 00 0 0
255 255 255 255 -10.438800 -23.446699 3.25404000 1.00 00 0 0
255 255 255 255 13.8718004 21.6828995 -2.0045600 1.00 00 0 0
255 255 255 255 -34.958599 -19.718201 5.87349987 1.00 00 0 0
%tunl_4_Cus3
255 255 255 255 -11.900500 0.87303197 0.35413700 1.00 00 0 0
255 255 255 255 -34.715698 -21.996401 -2.8025701 1.00 00 0 0
255 255 255 255 10.9287996 23.5620003 5.44195986 1.00 00 0 0
255 255 255 255 34.8692017 22.3253994 7.01091003 1.00 00 0 0
255 255 255 255 12.5059996 -0.1385190 3.19720006 1.00 00 0 0
255 255 255 255 -10.538000 -23.165400 -1.5224299 1.00 00 0 0
%tunl_4_Cus4
255 255 255 255 3.45324993 -13.554700 2.10254002 1.00 00 0 0
255 255 255 255 18.2175007 11.6292000 2.13972998 1.00 00 0 0
255 255 255 255 -5.8921099 8.61396980 2.23609996 1.00 00 0 0
%sbwy_tunl_start
255 255 255 255 -3.3860500 -19.154900 -1.2179700 1.00 00 0 0
255 000 000 255 -0.1342160 -6.1061401 -1.6926200 1.00 00 0 0
255 000 000 255 -0.1342160 -6.1061401 -1.9177400 1.00 00 0 0
255 255 255 255 -0.8681030 24.2085991 -1.2179700 1.00 00 0 0
255 000 000 255 1.15265000 37.0600014 -1.6926200 1.00 00 0 0
255 000 000 255 1.15265000 37.0600014 -1.9177400 1.00 00 0 0
%sbwy_tunl_bit
255 255 255 255 4.33925009 0.04928130 1.01745999 1.00 00 0 0
255 255 255 255 4.79175997 -19.888800 0.77231300 1.00 00 0 0
255 255 255 255 4.38685989 20.0804996 1.08781004 1.00 00 0 0
255 255 255 255 4.38684988 -39.540501 1.08781004 1.00 00 0 0
255 255 255 255 4.38685989 39.9882011 1.08781004 1.00 00 0 0
%sbwy_tunl_bend
255 255 255 255 4.00538015 -17.575199 0.77231300 1.00 00 0 0
255 255 255 255 -11.026600 17.5751991 1.01745999 1.00 00 0 0
255 255 255 255 -5.1041398 -0.5572100 1.08781004 1.00 00 0 0
255 255 255 255 14.8170996 -33.238701 1.01745999 1.00 00 0 0
255 255 255 255 -13.978500 36.6531982 1.08781004 1.00 00 0 0
%sbwy_tunl_cstm6
255 255 255 255 -4.3392301 -0.0173950 2.02646995 1.00 00 0 0
255 255 255 255 -4.3392301 20.0202999 0.62618899 1.00 00 0 0
255 255 255 255 -4.3392301 -19.927700 3.22041011 1.00 00 0 0
255 255 255 255 -4.3392301 39.6932983 -0.5141020 1.00 00 0 0
255 255 255 255 -4.3392301 -39.835400 3.78094006 1.00 00 0 0
%sbwy_tunl_cstm7
255 255 255 255 -5.2487798 -0.8115840 1.18321002 1.00 00 0 0
255 255 255 255 -25.563101 4.93743992 0.66288799 1.00 00 0 0
255 255 255 255 14.9832001 -6.5826402 1.78808999 1.00 00 0 0
255 255 255 255 -44.621700 7.85199022 0.35023800 1.00 00 0 0
255 255 255 255 35.1973000 -12.173200 2.36431003 1.00 00 0 0
%sbwy_tunl_cstm8
255 255 255 255 14.9672003 -5.3183899 1.22604001 1.00 00 0 0
255 255 255 255 -4.9246802 -3.2802999 1.02907002 1.00 00 0 0
%sbwy_tunl_cstm10
255 255 255 255 -19.699800 1.37996995 4.83604002 1.00 00 0 0
255 255 255 255 -39.587002 0.18161000 6.36552000 1.00 00 0 0
255 255 255 255 0.13269000 3.23087001 2.16366005 1.00 00 0 0
255 255 255 255 19.7560005 5.13632011 -0.4375050 1.00 00 0 0
255 255 255 255 39.3633995 6.53375006 -2.5883999 1.00 00 0 0
%sbwy_tunl_cstm9
255 255 255 255 -31.377800 -25.173901 3.85187006 1.00 00 0 0
255 255 255 255 -17.181801 -11.045200 3.22041011 1.00 00 0 0
255 255 255 255 -3.1030300 3.03354001 2.02646995 1.00 00 0 0
255 255 255 255 10.8948002 17.0312996 0.64252901 1.00 00 0 0
255 255 255 255 24.9766998 31.1133003 -0.5141020 1.00 00 0 0
%sbwy_tunl_cstm11
255 255 255 255 13.2058001 -3.5127001 1.28163004 1.00 00 0 0
255 255 255 255 -3.0239301 -3.4960301 1.44360006 1.00 00 0 0
%sbwy_tunl_cstm1
255 255 255 255 10.3416004 -3.8629200 0.06566430 1.00 00 0 0
255 255 255 255 -4.0500498 10.2539997 2.95255995 1.00 00 0 0
255 255 255 255 24.0296993 -17.825701 -1.9062901 1.00 00 0 0
255 255 255 255 -18.128799 24.3327999 5.01226997 1.00 00 0 0
%sbwy_tunl_cstm2
255 255 255 255 -34.486500 2.73589993 2.16402006 1.00 00 0 0
255 255 255 255 -15.162300 3.10753989 1.95560002 1.00 00 0 0
255 255 255 255 4.86901999 4.15502977 1.31807005 1.00 00 0 0
255 255 255 255 24.6648998 5.13396978 0.85276300 1.00 00 0 0
%sbwy_tunl_cstm4
255 255 255 255 -6.1867700 -1.0112900 1.10205996 1.00 00 0 0
255 255 255 255 -20.036100 -13.369400 1.10207999 1.00 00 0 0
255 255 255 255 8.06884956 11.3506002 1.10206997 1.00 00 0 0
%sbwy_tunl_cstm3
255 255 255 255 40.2176018 0.58703601 0.97846401 1.00 00 0 0
255 255 255 255 20.4766998 -0.9266360 1.62265003 1.00 00 0 0
255 255 255 255 0.50341803 -3.5336299 1.82614994 1.00 00 0 0
255 255 255 255 -19.107000 -6.5252099 1.69290996 1.00 00 0 0
255 255 255 255 -39.084801 -8.8078604 1.48819995 1.00 00 0 0
%sbwy_tunl_cstm5
255 255 255 255 -2.4282801 6.94293022 2.38610005 1.00 00 0 0
255 255 255 255 -4.9045401 -9.6229200 1.01145995 1.00 00 0 0
%tunlentind_4
255 255 255 255 40.9761009 -8.8987398 2.25776005 1.00 00 0 0
255 255 255 255 8.29642010 -8.9236498 2.20625997 1.00 00 0 0
255 255 255 255 -24.042801 -8.9273100 2.19869995 1.00 00 0 0
255 255 255 255 -7.6740398 8.92018986 2.21345997 1.00 00 0 0
255 255 255 255 24.8484001 8.91880035 2.21629000 1.00 00 0 0
255 255 255 255 -40.066799 8.92625046 2.20094991 1.00 00 0 0
%ped_tunnel
216 041 018 255 1.62349999 -2.5742800 2.09734011 0.50 00 0 0
216 041 018 255 -3.6642499 -2.5742800 2.09734011 0.50 00 0 0
%smal_outsidelight
226 251 255 255 0.01155610 -0.1700360 -0.1858380 1.00 00 0 0
%smal_outsidelight2
252 237 210 255 -0.0155430 -0.1700360 -0.1858380 1.20 00 0 0
%singlelight
210 209 186 255 -0.0086670 -0.1851810 -0.0013790 1.00 00 0 0
%smal_outsidelight3
207 196 183 255 0.02058900 -0.1700340 -0.1858380 1.00 00 0 0
%hotel_outsidelight
207 196 183 255 0.02856700 0.09278680 0.12638600 1.20 00 0 0
%sub_billboard1
