#%modelname
#Red, Green, Blue, Alpha, OffsetX, OffsetY, OffsetZ, CustomSize, BlinkType, NoDistance, DrawSearchlight
#0.45 - custom size reserved for traffic lights

%a51_halbox_
199 018 000 255 -0.2064060 -0.1088960 0.04260800 0.20 00 0 0
%a51_labtable1_
195 255 253 255 0.24848901 0.10106300 2.06036091 0.30 00 0 0
208 254 255 255 -0.2852170 0.10106300 2.06036091 0.30 00 0 0
188 248 255 255 -0.8112180 0.10106300 2.06036091 0.30 00 0 0
%a51_light1_
000 255 186 255 0.00553900 0.00830700 0.10304400 0.30 00 0 0
%ab_acc_control
255 031 020 255 0.04260300 2.01007104 0.45109400 0.50 00 0 0
%airport_11_sfse
255 255 255 255 -4.4066162 -26.472595 14.8687229 1.00 00 0 0
255 255 255 255 5.07702589 4.77664185 14.8687229 1.00 00 0 0
255 255 255 255 -66.949707 -45.395172 14.8687229 1.00 00 0 0
255 255 255 255 -5.8503418 15.7041016 14.8687229 1.00 00 0 0
255 255 255 255 -35.655884 -35.956207 14.8687229 1.00 00 0 0
255 255 255 255 36.3262939 14.2602539 14.8687229 1.00 00 0 0
255 255 000 255 -22.634399 -48.977753 14.8687229 1.00 00 0 0
255 255 255 255 14.5161133 36.0705261 14.8687229 1.00 00 0 0
255 255 000 255 12.1174316 38.4693298 14.8687229 1.00 00 0 0
255 255 255 255 25.4434814 25.1430664 14.8687229 1.00 00 0 0
255 255 255 255 15.9598389 -6.1061711 14.8687229 1.00 00 0 0
255 255 255 255 -46.583252 -25.028748 14.8687229 1.00 00 0 0
255 255 255 255 -24.773071 -46.839020 14.8687229 1.00 00 0 0
255 255 255 255 -26.216797 -4.6623230 14.8687229 1.00 00 0 0
255 255 255 255 -15.289429 -15.589783 14.8687229 1.00 00 0 0
255 255 000 255 -2.2679441 -28.611328 14.8687229 1.00 00 0 0
255 255 000 255 18.0985107 -8.2449036 14.8687229 1.00 00 0 0
255 255 000 255 -28.615479 -2.2635190 14.8687229 1.00 00 0 0
255 255 000 255 38.4649658 12.1215210 14.8687229 1.00 00 0 0
255 255 000 255 32.4838867 58.8357544 14.8687229 1.00 00 0 0
255 255 255 255 45.8099365 45.5094910 14.8687229 1.00 00 0 0
255 255 255 255 34.8825684 56.4369507 14.8687229 1.00 00 0 0
255 255 000 255 -8.2490234 18.1029053 14.8687229 1.00 00 0 0
255 255 000 255 -48.981934 -22.629944 14.8687229 1.00 00 0 0
255 255 000 255 58.8314209 32.4879456 14.8687229 1.00 00 0 0
255 255 255 255 -45.139526 -67.205444 14.8687229 1.00 00 0 0
255 255 000 255 -43.000854 -69.344177 14.8687229 1.00 00 0 0
255 255 255 255 56.6927490 34.6266785 14.8687229 1.00 00 0 0
255 255 000 255 -69.348389 -42.996368 14.8687229 1.00 00 0 0
255 255 255 255 -56.022339 -56.322632 14.8687229 1.00 00 0 0
255 255 000 255 46.3482666 72.7000732 14.8687229 1.00 00 0 0
255 255 255 255 48.7469482 70.3012695 14.8687229 1.00 00 0 0
