#%modelname
#Red, Green, Blue, Alpha, OffsetX, OffsetY, OffsetZ, CustomSize, BlinkType, NoDistance, DrawSearchlight
#0.45 - custom size reserved for traffic lights

%helix_barrier
228 145 000 255 14.1482000 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 -9.1780701 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 10.8648005 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 9.08504009 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 5.74976015 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 -5.7815299 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 -10.929900 0.03039550 0.98691899 1.20 00 0 0
228 145 000 255 -14.237100 0.03039550 0.98691899 1.20 00 0 0
%mine
255 000 000 255 0.00000000 -0.0069227 0.07920430 1.00 02 0 0
%bollardlight
255 255 255 255 -0.0257463 -0.0584068 0.31920901 0.75 00 0 1
%lampost_coast
255 255 255 255 0.64504200 0.00001527 4.41736984 1.00 00 0 1
%lamppost3
255 148 052 255 -1.4057500 0.20891000 3.67025995 1.20 00 0 1
%Streetlamp2
255 255 255 255 -0.3400040 0.01872250 2.64116001 1.00 00 0 0
255 255 255 255 0.53780901 0.01872250 2.64116001 1.00 00 0 0
%Streetlamp1
255 255 255 255 -0.0298080 0.02392910 2.73922992 1.00 00 0 0
%bouy
255 000 000 255 0.03591540 0.05842020 10.2748003 1.20 03 0 0
255 000 000 255 0.03591540 0.05842020 12.5429001 1.00 00 0 0
%barrelexpos
255 059 059 255 -0.0029871 -0.2660580 0.18544500 0.30 02 0 0
%BillBd1
255 255 255 255 -1.9267499 1.89177001 2.49039006 0.70 00 0 0
255 255 255 255 -1.8432699 3.82529998 2.48640990 0.70 00 0 0
255 255 255 255 -1.9207799 -0.5892370 2.48640990 0.70 00 0 0
255 255 255 255 -1.9261900 -2.8593800 2.48640990 0.70 00 0 0
255 255 255 255 -1.8474100 -5.0218501 2.48640990 0.70 00 0 0
255 255 255 255 -1.8879499 -7.1677699 2.48640990 0.70 00 0 0
%BillBd3
255 255 255 255 -1.8275501 6.97197008 2.14100003 0.70 00 0 0
255 255 255 255 -1.8836900 4.32293987 2.14416003 0.70 00 0 0
255 255 255 255 -1.8901100 1.55204999 2.14695001 0.70 00 0 0
255 255 255 255 -1.8836000 -1.3345701 2.14364004 0.70 00 0 0
255 255 255 255 -1.9031800 -4.1181202 2.15267992 0.70 00 0 0
255 255 255 255 -1.8862600 -6.7816701 2.14445996 0.70 00 0 0
%MTraffic2
255 000 000 255 1.10466003 -0.3851550 3.00467992 0.45 00 0 0
255 128 000 255 1.12293994 -0.3853150 2.53018999 0.45 00 0 0
000 255 000 255 1.15081000 -0.3855590 2.05238008 0.45 00 0 0
255 000 000 255 -11.087100 0.79736298 3.02967000 0.45 00 0 0
255 128 000 255 -11.064500 0.79716498 2.51111007 0.45 00 0 0
000 255 000 255 -11.068400 0.79720300 2.04667997 0.45 00 0 0
%MTraffic4
255 000 000 255 -0.0602188 0.27248400 0.53593600 0.45 00 0 0
255 128 000 255 -0.0365982 0.28676599 0.01606130 0.45 00 0 0
000 255 000 255 -0.0673351 0.27858001 -0.4781780 0.45 00 0 0
%BillBd2
255 255 255 255 -5.3959599 -4.2833500 1.26637006 0.70 00 0 0
255 255 255 255 -4.0204201 5.57400990 1.24161994 0.70 00 0 0
255 255 255 255 -4.2989502 3.69706988 1.25405002 0.70 00 0 0
255 255 255 255 -4.5276299 1.60658002 1.22984004 0.70 00 0 0
255 255 255 255 -4.8657198 -0.4358900 1.25980997 0.70 00 0 0
255 255 255 255 -5.1318998 -2.5197301 1.25373006 0.70 00 0 0
255 255 255 255 5.15804005 -4.3619800 1.22325003 0.70 00 0 0
255 255 255 255 4.64363003 -2.4187400 1.22581995 0.70 00 0 0
255 255 255 255 4.74233007 -0.6548610 1.27267003 0.70 00 0 0
255 255 255 255 4.34438992 1.66600001 1.22324002 0.70 00 0 0
255 255 255 255 4.12862015 3.58868003 1.22325003 0.70 00 0 0
255 255 255 255 4.10680008 5.58360004 1.28296006 0.70 00 0 0
%lamppost2
